team1_pts,team2_pts
14,9
9,15
15,10
14,19
24,38
17,14
24,34
13,38
24,17
18,31
13,17
20,27
31,6
13,7
9,10
21,14
7,34
10,15
16,14
32,35
19,11
41,7
20,7
20,27
14,10
16,14
31,14
27,30
38,13
14,28
14,38
22,25
38,30
7,20
24,17
27,13
10,29
27,24
13,38
10,31
10,24
3,28
16,30
23,24
13,27
27,20
23,31
17,20
3,20
14,38
23,20
20,26
26,28
14,17
14,16
14,16
31,28
31,24
41,10
17,12
3,17
14,41
6,44
26,36
31,17
16,13
20,10
23,6
24,21
19,9
10,34
20,30
35,27
27,34
27,24
29,20
17,20
20,23
17,31
23,20
10,28
20,23
31,6
20,28
31,35
20,24
17,9
24,21
24,27
3,30
34,37
22,23
17,30
19,37
18,17
20,23
42,20
17,14
39,32
22,10
20,23
14,59
24,28
41,35
20,10
25,37
9,0
35,17
22,14
24,16
10,13
25,33
35,38
18,28
33,3
10,20
30,17
21,27
19,22
34,14
29,23
10,26
20,23
34,3
27,24
41,7
23,20
26,24
7,45
21,27
21,26
12,14
16,31
13,27
17,23
20,26
29,17
24,31
49,29
18,36
33,20
20,23
39,26
59,28
16,0
31,49
35,19
3,35
20,24
13,31
27,30
19,16
13,37
31,3
34,17
19,34
0,21
31,28
27,17
35,14
45,24
30,27
26,10
20,17
19,16
20,0
24,20
17,13
23,24
17,33
42,24
26,31
10,17
33,36
14,36
27,6
24,34
13,10
16,34
7,31
24,20
30,34
6,10
6,17
38,14
28,13
38,35
19,6
28,24
31,14
10,13
45,3
28,30
13,6
23,7
31,38
10,31
7,3
17,16
13,31
21,40
43,13
31,0
10,6
7,36
27,30
21,3
28,34
34,7
13,27
14,17
19,17
34,24
17,31
30,33
20,23
30,24
38,31
19,12
18,34
39,23
22,17
31,27
14,40
3,27
26,27
17,25
3,34
34,38
10,20
27,34
20,17
14,34
34,20
26,31
23,24
17,45
38,15
14,17
24,14
13,23
13,7
41,9
31,10
38,7
31,10
38,7
20,13
3,10
38,7
13,14
28,33
34,17
23,20
14,17
16,6
36,41
17,16
30,7
16,21
24,31
48,21
24,35
28,21
21,14
24,19
25,31
34,42
13,31
7,34
14,16
35,7
30,12
41,7
17,27
20,27
28,21
17,24
33,17
28,14
27,24
38,24
20,23
23,30
30,13
27,19
3,48
3,32
13,26
0,24
38,35
22,21
24,20
27,24
24,22
13,23
35,21
35,31
16,28
10,16
8,13
17,16
14,17
33,40
31,34
29,16
26,23
34,24
17,20
7,37
17,27
13,10
13,16
20,23
16,18
10,17
34,30
22,17
23,20
31,13
10,17
10,23
24,23
29,34
28,30
27,31
49,23
16,26
19,31
17,34
17,24
20,30
24,28
25,20
17,38
24,31
30,27
36,25
34,10
3,48
21,30
29,24
25,14
13,24
31,17
27,24
17,27
3,24
13,17
25,19
20,13
24,17
29,14
16,20
26,20
39,10
6,24
18,15
41,7
27,21
6,3
16,23
20,33
18,24
32,20
7,34
27,33
28,0
62,7
7,12
21,31
27,30
20,17
10,27
14,24
24,21
0,23
45,10
20,10
25,17
12,34
7,34
23,20
31,7
13,23
11,27
12,30
31,3
11,19
27,16
17,24
24,38
13,19
45,38
24,20
20,23
30,24
17,24
44,7
17,24
17,21
3,17
37,9
26,23
13,12
17,10
9,20
3,30
17,22
20,27
13,37
37,16
45,7
13,17
8,35
35,49
24,31
10,14
35,26
27,24
27,21
7,23
24,7
17,23
31,20
10,17
34,3
27,15
20,19
16,6
20,23
14,24
24,28
20,23
23,17
27,19
13,20
25,20
23,17
16,13
38,20
13,9
24,49
31,14
17,23
19,38
35,7
24,31
17,10
3,10
34,14
34,19
32,35
24,10
13,19
35,38
0,26
17,31
14,38
3,14
20,19
10,24
10,37
34,28
41,14
26,10
17,22
27,34
23,31
13,10
19,21
37,10
46,16
37,34
13,30
14,41
15,31
13,20
23,30
10,23
13,28
14,38
27,13
14,19
42,20
27,28
20,17
23,41
45,19
14,34
3,20
16,19
40,14
16,23
17,23
24,27
27,0
14,20
13,16
14,29
16,48
33,26
10,38
20,7
19,17
35,21
45,16
27,34
21,49
45,41
22,23
17,19
34,10
17,45
19,13
13,17
20,23
26,38
24,16
9,13
7,3
24,45
31,14
31,10
28,45
24,2
29,23
32,36
10,45
20,13
20,37
20,23
17,20
21,17
17,24
41,21
24,40
28,48
17,16
23,27
10,30
40,32
34,13
26,23
20,16
22,30
10,16
31,19
44,13
22,14
10,23
35,17
34,27
18,20
35,13
35,27
20,23
27,7
41,34
23,24
31,28
27,7
27,10
38,10
19,27
27,21
7,36
24,14
24,27
38,31
17,22
44,41
23,20
6,23
16,10
13,24
3,27
27,6
25,31
31,34
30,31
12,14
23,16
13,19
52,28
30,28
20,13
14,38
37,20
0,34
10,27
24,21
6,37
27,28
24,22
17,19
18,34
17,3
41,27
9,6
14,16
27,30
17,13
17,24
12,16
41,3
7,30
3,45
21,31
24,31
17,23
23,26
10,38
17,14
23,20
9,35
31,29
34,24
26,23
24,23
19,16
26,3
26,38
42,24
24,35
13,6
30,20
35,28
35,34
13,17
13,43
14,19
27,23
14,21
23,26
29,26
17,24
13,7
17,36
12,27
30,17
23,22
24,28
15,24
13,19
9,30
7,6
7,45
26,16
24,29
34,14
24,3
31,13
21,9
23,31
20,23
31,17
15,25
20,51
14,31
21,13
32,42
30,20
24,20
13,19
13,28
27,10
27,31
31,37
14,36
20,55
31,13
3,37
24,34
24,34
28,7
38,23
24,24
6,13
13,16
19,14
27,13
20,24
23,19
28,6
37,43
31,6
21,27
20,23
38,17
24,59
30,23
13,10
32,7
34,31
31,38
19,49
28,10
23,24
10,34
14,20
20,13
9,17
24,19
21,24
16,13
31,17
31,21
10,38
30,22
23,13
16,13
18,34
14,23
10,24
23,16
21,27
23,17
33,35
7,6
31,23
20,13
17,20
23,20
33,38
17,16
13,26
15,12
30,7
27,23
10,17
24,34
20,19
23,21
28,31
20,30
14,21
13,27
58,0
52,27
27,20
42,14
13,34
22,36
17,29
17,34
34,0
21,13
21,38
3,24
0,41
50,17
31,7
38,10
27,24
0,15
41,34
10,14
31,18
24,10
13,10
34,31
55,7
23,16
13,20
23,6
27,17
20,27
28,13
17,6
12,34
13,28
33,14
42,13
22,17
9,28
24,10
16,28
38,20
38,44
24,26
23,17
42,7
21,24
27,13
3,38
37,34
28,0
13,20
28,18
19,13
24,10
9,24
24,14
38,35
45,31
28,30
41,28
28,24
13,28
34,31
27,49
23,21
24,21
23,10
21,17
24,34
16,9
23,17
28,2
17,18
12,7
27,24
28,34
31,36
33,27
31,28
13,10
23,24
6,14
24,20
17,16
20,38
30,33
31,24
30,31
24,30
21,25
16,14
23,41
9,19
3,29
10,20
16,26
7,31
23,3
38,0
34,30
31,7
27,20
9,30
17,20
31,27
27,23
20,27
27,7
17,45
40,23
21,37
35,11
23,20
7,31
40,32
10,13
20,23
6,17
3,37
34,27
38,13
30,21
20,52
24,14
30,23
17,38
37,24
20,34
26,18
6,13
22,9
23,26
21,36
28,34
17,26
22,6
48,51
34,3
17,27
28,30
27,21
19,17
24,27
17,31
7,24
13,38
6,19
20,31
35,10
35,19
13,20
32,20
30,27
16,31
9,19
34,22
23,31
23,21
24,27
3,17
24,6
30,15
27,30
41,45
31,17
19,16
31,13
17,16
33,39
7,23
13,31
27,17
17,35
23,17
15,7
31,30
42,10
18,21
49,9
13,27
21,45
31,44
14,9
20,22
21,28
13,23
34,10
30,24
27,23
20,26
20,49
27,24
24,18
31,55
24,27
20,27
34,27
13,27
27,29
10,23
20,17
10,33
21,19
8,38
24,20
9,10
27,24
28,20
49,17
22,19
30,27
23,20
37,27
14,37
41,20
16,24
28,41
23,28
14,27
16,20
27,13
23,20
20,41
27,17
20,24
13,17
21,42
26,26
6,13
3,19
16,20
11,27
21,24
41,38
11,40
23,19
21,24
31,34
6,27
10,40
31,24
22,20
28,32
14,22
21,24
31,34
23,3
27,6
23,20
31,34
13,23
10,17
28,35
24,17
7,34
20,27
21,22
27,6
28,42
27,26
34,20
28,34
27,37
10,45
26,29
51,28
30,10
37,14
17,19
31,13
45,28
20,27
27,20
3,25
24,20
30,48
33,14
26,27
38,31
23,0
30,20
31,56
37,36
16,27
37,34
20,30
18,16
13,23
19,0
14,42
24,13
7,23
13,37
20,16
23,24
13,17
23,20
10,17
31,38
41,7
26,13
11,54
34,24
17,34
20,7
30,10
10,16
7,20
6,20
20,21
13,14
20,34
28,33
23,20
34,14
17,42
27,24
27,9
24,22
45,44
24,26
10,27
23,20
15,23
43,22
23,10
24,17
26,16
23,17
8,43
16,36
20,23
6,34
23,16
30,27
17,34
10,26
19,14
37,34
6,17
33,20
14,20
28,17
24,31
35,14
18,17
26,6
29,10
26,24
26,10
24,7
25,14
24,10
41,10
30,7
19,17
21,30
24,17
24,31
14,30
28,20
30,27
14,56
31,34
22,10
7,33
23,21
17,44
19,7
30,17
16,9
34,37
9,20
23,14
20,26
15,34
37,19
27,19
14,45
17,23
38,10
17,38
17,24
17,41
27,24
14,38
14,33
28,41
26,21
17,38
41,14
42,10
28,29
9,17
34,28
30,20
17,14
24,31
13,20
20,17
31,37
20,41
22,17
31,0
17,43
27,17
33,28
10,31
17,31
22,37
3,17
27,24
16,14
48,17
37,37
28,31
30,20
27,13
23,30
0,27
17,31
25,27
28,26
14,27
0,27
24,6
29,7
17,16
17,38
24,23
19,17
20,23
24,13
31,21
17,42
23,30
21,35
22,21
24,27
43,23
51,23
27,13
30,16
19,13
7,34
13,9
20,24
13,23
34,51
44,23
20,17
10,28
23,33
22,17
0,37
10,24
21,31
29,26
28,17
13,10
43,21
24,30
23,43
24,40
3,24
13,17
16,20
20,13
27,24
21,7
27,17
31,17
41,17
14,31
17,38
55,14
21,45
22,9
22,7
13,21
27,10
17,19
23,7
16,10
7,27
20,24
13,6
6,14
20,53
42,20
27,24
24,20
24,26
13,21
13,22
3,23
34,9
24,43
24,21
27,24
3,19
39,36
13,17
28,31
38,3
34,27
17,34
10,33
19,3
52,0
10,26
31,13
13,14
27,49
45,21
32,35
33,34
24,25
18,29
26,21
16,29
16,13
28,41
42,21
34,17
13,28
24,30
41,10
25,24
27,13
7,36
24,0
24,17
17,14
24,14
13,24
14,23
37,43
6,12
27,20
21,13
30,0
10,17
20,12
13,41
24,13
17,19
31,13
22,10
11,16
14,16
17,7
27,38
15,31
13,21
24,27
38,35
25,13
12,20
17,16
30,14
20,14
20,3
35,37
17,13
37,27
26,24
42,7
6,35
28,37
17,9
9,13
20,10
10,27
24,37
26,34
17,23
19,7
20,23
44,17
34,3
20,17
14,47
30,20
6,20
27,17
16,27
30,17
10,26
24,20
31,35
31,17
21,26
24,13
22,28
45,7
24,28
21,28
23,31
31,34
27,20
10,17
14,27
20,9
10,31
19,31
28,33
13,33
19,13
14,42
27,26
24,26
3,20
31,24
23,48
24,20
40,32
17,24
14,28
19,26
43,18
19,24
16,26
24,10
23,20
33,37
20,10
17,27
20,7
21,32
12,6
24,28
20,27
14,31
28,39
27,22
35,33
9,19
24,17
17,51
7,47
14,41
0,26
12,24
38,28
23,20
27,14
21,48
24,10
22,20
16,13
23,37
36,21
20,23
30,27
24,22
23,20
17,3
26,20
10,13
20,27
25,19
17,18
33,30
24,10
38,31
13,14
24,27
17,39
17,42
6,30
10,16
30,27
20,24
21,31
34,20
21,34
37,34
26,23
20,31
16,10
38,10
13,25
27,23
27,20
25,20
34,27
7,27
3,20
31,34
6,24
30,23
10,7
28,19
26,44
21,27
13,23
30,31
37,29
27,20
27,16
18,26
36,7
45,10
20,23
27,6
16,10
23,20
34,20
20,6
52,49
29,26
34,20
12,13
10,29
26,29
31,10
33,17
28,23
18,21
27,10
28,34
38,35
29,37
17,16
32,18
24,27
27,33
22,19
17,22
37,13
27,10
18,16
9,30
10,6
22,20
19,20
47,14
30,14
13,29
26,27
39,32
6,10
19,13
24,21
16,44
17,15
13,18
17,45
16,13
14,24
17,24
3,33
13,30
13,29
34,31
13,20
14,45
14,33
13,17
20,10
7,31
12,25
24,6
20,38
24,21
22,30
31,25
14,20
19,13
39,30
24,30
27,33
23,27
3,27
30,21
20,26
39,42
7,38
19,23
3,37
15,13
20,23
17,3
34,20
41,38
28,35
45,10
19,16
23,20
23,20
21,24
33,20
10,24
16,51
14,21
24,17
8,30
35,6
38,0
10,3
12,15
7,28
27,6
31,24
31,23
19,16
23,17
38,35
38,17
10,16
34,14
16,33
35,25
20,30
30,13
24,14
27,34
30,14
17,40
35,27
23,20
38,24
13,20
6,16
18,12
6,34
20,26
20,17
21,26
17,13
32,17
27,38
8,38
17,23
49,17
20,17
17,20
22,17
20,24
24,16
12,28
24,30
6,30
20,10
34,23
30,35
38,10
36,6
27,20
16,19
17,23
20,13
0,30
18,16
10,9
35,18
20,27
20,26
24,31
23,16
20,18
15,49
24,10
21,20
13,7
27,23
31,24
14,23
23,22
29,10
27,33
25,16
35,34
12,10
35,39
20,19
21,23
38,16
0,28
37,31
24,16
20,25
15,16
12,19
24,31
27,46
27,23
13,16
40,7
3,9
28,35
20,34
38,14
17,14
29,14
0,27
18,33
10,22
29,17
24,30
27,34
19,17
29,27
17,10
32,37
18,37
26,22
3,34
3,24
31,17
32,45
7,22
30,27
14,17
16,0
20,27
27,28
17,27
33,48
20,31
27,7
13,17
17,24
34,35
14,43
10,24
33,21
23,29
33,13
24,23
17,30
13,31
10,16
13,31
16,23
19,30
14,28
34,31
23,16
14,17
21,13
45,16
16,17
17,35
28,26
31,28
30,15
23,27
27,20
38,41
26,10
16,30
26,24
23,26
3,28
26,10
17,10
16,33
21,10
28,25
31,17
26,34
17,20
21,27
24,16
33,30
17,34
27,16
6,6
9,27
36,22
27,27
20,30
25,41
28,31
14,30
24,30
20,25
20,13
27,19
32,33
29,23
20,10
43,28
14,19
23,27
28,23
21,14
10,35
22,16
10,13
23,41
26,31
35,43
20,30
25,31
7,28
20,17
36,10
25,47
24,21
20,26
24,15
25,23
9,6
31,24
23,20
30,35
24,31
21,20
20,23
16,12
16,22
17,24
30,24
17,27
26,19
17,19
24,9
14,10
17,30
15,26
42,24
20,27
13,16
31,26
28,7
19,38
28,21
21,27
19,14
21,13
24,31
49,21
13,27
14,5
32,35
22,17
30,27
13,27
17,15
29,28
6,26
32,14
10,20
28,13
21,13
6,38
10,26
38,24
31,23
24,14
21,28
40,7
10,41
21,13
20,27
28,16
17,20
23,10
17,22
23,26
10,13
25,16
27,22
23,17
14,42
38,10
11,16
7,10
23,30
24,3
34,13
33,13
30,27
24,20
6,34
17,6
21,20
17,19
26,27
41,13
41,48
3,16
19,16
26,20
15,26
19,24
16,33
34,31
41,21
20,17
38,25
17,38
3,41
33,25
31,34
24,31
22,21
10,12
31,27
33,10
42,21
10,30
17,16
10,38
27,10
27,24
20,24
13,27
17,24
35,14
38,32
6,44
24,6
37,27
19,10
23,25
24,31
14,27
26,6
12,30
13,38
20,36
16,34
31,34
18,16
21,44
17,36
34,28
42,27
17,23
21,12
0,20
18,21
35,23
29,7
16,26
30,17
46,9
3,23
17,9
3,19
19,29
24,21
13,9
9,3
7,29
24,10
16,13
37,16
20,27
26,9
36,20
19,17
20,45
42,17
20,27
12,9
34,23
10,24
39,41
7,44
6,20
26,30
26,16
34,13
17,23
28,31
36,33
34,17
27,24
27,33
27,24
10,24
27,10
28,17
35,14
20,0
23,17
30,33
7,31
35,30
7,14
14,57
20,23
26,9
18,15
23,25
24,26
16,10
46,18
29,20
19,14
10,16
16,20
27,24
17,14
23,26
7,34
30,9
27,22
17,30
16,10
31,35
42,34
17,20
23,28
17,20
27,24
17,33
38,52
23,10
17,24
24,26
38,33
17,27
19,13
16,17
23,10
22,36
30,31
30,27
31,28
17,3
9,12
27,0
33,0
17,26
16,24
40,10
29,14
0,21
7,24
23,7
24,34
40,0
16,33
25,20
14,34
24,23
3,17
20,12
21,13
10,33
38,41
33,19
20,15
19,29
34,21
20,17
23,7
23,51
10,30
51,17
23,20
14,20
10,20
14,17
28,17
27,24
17,30
22,16
10,47
16,23
24,20
38,24
20,17
38,30
20,17
10,15
33,7
27,7
31,21
41,16
21,45
40,17
27,24
7,19
21,31
23,0
12,9
20,30
7,24
34,31
54,24
20,17
33,8
37,9
34,31
30,23
28,6
10,20
20,34
10,16
27,35
31,3
16,30
16,20
17,35
13,24
24,27
21,14
26,20
28,31
16,23
38,14
9,14
3,23
15,14
30,10
9,35
44,20
26,20
13,24
38,31
19,10
31,21
32,16
24,17
10,24
20,23
20,17
13,7
24,31
7,33
21,27
30,10
24,21
16,26
15,26
7,12
0,23
13,30
24,30
43,35
38,39
27,20
13,25
20,10
30,13
24,16
31,24
7,34
10,27
15,20
45,7
31,19
34,29
42,7
24,27
25,23
17,20
21,24
23,16
16,0
23,13
16,37
22,19
3,20
17,26
27,11
13,29
7,14
27,23
33,44
0,23
12,21
6,34
10,19
23,10
28,24
22,13
0,6
35,11
6,26
10,18
22,10
22,16
27,31
24,26
27,24
15,10
24,31
10,30
13,34
22,21
13,26
3,10
31,26
15,10
14,35
42,45
24,29
20,24
38,7
33,41
18,12
3,47
34,23
21,21
27,20
20,15
20,27
24,16
48,40
38,28
8,16
24,6
24,27
24,23
48,17
33,13
34,23
24,31
31,20
21,18
21,9
29,29
20,17
37,42
20,12
27,21
0,34
30,27
19,20
31,20
13,20
17,24
21,17
37,43
27,6
21,31
16,20
14,27
31,17
27,22
9,6
27,38
20,28
35,23
14,16
13,24
26,10
27,30
31,38
36,37
0,22
10,48
34,37
24,26
31,12
38,7
26,23
42,45
17,20
18,33
29,27
26,14
27,23
24,38
33,31
41,17
13,12
17,27
12,9
16,34
23,31
30,14
26,10
18,28
21,23
31,33
19,16
19,43
34,13
17,23
28,31
29,34
20,13
28,21
14,38
34,42
17,27
27,3
23,20
40,7
0,21
43,40
33,30
45,10
20,19
21,17
31,38
21,32
5,37
23,26
7,20
37,17
24,23
20,17
10,39
10,45
23,20
42,23
18,24
36,21
10,24
28,14
34,37
33,18
23,30
20,13
28,42
27,29
18,15
20,30
25,6
34,3
38,14
42,28
9,24
16,23
41,9
37,21
6,13
17,25
17,19
45,35
17,31
14,28
21,52
28,16
22,34
14,51
29,26
26,14
16,3
41,10
10,34
20,6
31,12
31,36
27,20
23,27
24,27
19,22
20,19
21,24
38,10
23,21
16,20
35,38
23,21
22,23
7,48
20,25
54,51
16,23
23,31
31,17
21,24
27,30
20,35
27,13
25,22
34,17
27,9
45,10
24,27
24,17
17,24
34,17
10,13
26,16
17,21
17,24
27,30
24,10
13,29
0,6
17,20
30,16
33,40
22,26
24,10
16,43
30,33
13,28
30,9
20,34
27,23
20,26
24,21
24,27
33,34
28,14
16,40
26,21
14,20
3,17
29,23
24,21
15,6
21,7
28,29
29,22
17,16
40,14
13,14
17,24
16,30
23,0
16,13
41,17
17,0
12,20
26,23
17,10
30,23
12,9
16,25
22,10
10,24
24,12
26,18
27,28
27,20
9,27
44,38
32,30
7,17
14,9
9,31
31,28
38,31
27,14
34,32
42,17
33,14
35,36
31,0
20,3
3,38
10,24
16,13
26,24
27,24
9,23
35,3
0,24
32,48
17,33
21,7
22,24
17,23
16,15
13,31
22,30
28,41
14,20
26,23
37,31
3,13
3,10
28,12
17,16
30,27
43,13
40,26
59,10
27,32
20,21
30,24
27,27
35,17
17,31
33,3
30,28
24,16
20,14
28,14
41,17
19,17
23,17
31,21
10,13
21,16
12,13
0,43
26,28
28,10
14,16
9,27
24,20
3,23
7,20
27,24
17,21
31,6
27,16
27,24
28,33
34,14
30,14
38,20
31,32
27,20
33,27
24,20
20,13
31,15
27,34
10,24
10,16
10,16
25,40
31,24
30,34
10,30
24,3
27,10
40,55
6,16
26,24
10,12
27,3
29,30
31,6
32,53
7,14
34,27
24,21
23,26
10,28
24,31
7,33
26,23
20,13
34,24
19,13
31,3
35,14
37,26
16,17
23,17
28,32
31,24
13,6
20,38
33,34
7,20
22,24
0,16
17,24
22,23
6,30
21,31
23,30
42,30
9,0
37,10
17,27
21,27
24,42
20,23
36,25
16,30
10,37
0,33
9,19
31,13
16,17
15,13
31,26
27,20
24,10
31,9
15,29
27,23
51,13
27,13
27,24
24,31
14,27
25,28
26,3
24,9
20,30
14,22
26,24
18,26
26,23
31,24
34,40
24,19
11,26
37,20
18,37
24,26
26,9
19,16
20,13
49,13
30,27
32,35
27,34
12,16
16,24
12,17
28,24
27,24
21,7
3,29
37,20
33,13
27,35
23,27
7,41
17,34
17,34
26,36
10,17
17,10
7,17
17,24
17,20
22,35
20,3
31,34
19,14
16,10
41,24
16,19
34,3
9,17
42,20
9,13
37,8
6,45
20,24
15,26
18,26
29,21
6,22
20,13
31,17
31,13
11,28
37,31
20,17
7,34
23,20
9,40
28,22
37,30
31,24
20,40
24,17
27,19
38,35
38,24
7,20
20,15
21,22
46,48
45,10
17,23
23,16
42,21
12,28
23,17
21,42
30,24
13,21
34,13
23,3
17,38
24,21
36,20
37,27
38,24
20,16
10,39
29,22
44,21
17,10
7,34
20,23
17,24
31,34
12,24
6,38
38,35
15,31
28,38
41,35
16,10
27,17
24,17
13,27
17,9
26,3
23,10
28,22
13,6
42,10
19,21
23,33
23,20
21,31
27,24
38,20
31,24
47,16
15,16
14,35
17,34
10,28
21,26
22,19
20,13
20,26
9,17
10,27
28,12
51,31
28,23
24,35
37,20
31,20
20,34
38,25
27,17
30,34
27,23
38,6
27,20
34,43
21,11
17,27
16,13
20,24
34,23
17,20
26,16
14,16
30,35
39,40
31,28
31,17
13,17
11,28
21,26
21,42
30,33
13,31
37,19
15,30
33,16
20,23
35,30
24,34
31,13
26,30
32,35
23,23
20,34
21,28
31,30
20,36
36,9
21,16
36,7
23,26
38,31
10,28
37,30
34,20
37,28
21,31
11,19
25,33
49,38
35,29
23,31
31,23
17,31
38,31
17,9
23,30
25,20
10,26
30,16
19,20
16,23
27,3
10,30
30,14
32,40
38,29
10,30
17,43
32,23
37,34
26,27
27,30
16,42
12,18
34,16
23,40
23,16
27,31
7,38
42,36
20,19
28,30
0,24
10,38
16,24
17,26
38,10
21,22
20,35
27,24
23,22
18,10
24,27
34,37
25,3
45,20
16,43
6,33
29,39
34,37
10,24
17,25
21,41
22,28
17,28
24,28
21,24
20,31
16,6
35,9
31,30
37,27
26,23
23,9
25,23
17,34
10,24
20,34
27,25
27,34
44,34
31,33
24,17
20,23
31,26
31,34
24,19
38,3
27,30
34,17
10,7
30,27
20,24
23,46
27,17
12,37
29,21
32,30
10,36
13,27
16,23
23,17
13,19
21,28
9,24
20,9
17,22
20,27
27,3
30,24
0,20
13,20
28,34
34,31
31,28
31,35
24,27
41,25
16,41
43,6
17,27
17,19
25,27
45,26
20,17
3,20
28,27
3,31
20,23
27,24
25,41
17,23
14,19
21,16
30,34
7,19
41,35
26,20
27,24
28,31
28,38
12,17
16,30
0,45
22,16
17,23
34,24
17,34
24,3
27,32
7,36
7,30
26,7
31,10
27,33
14,26
44,27
3,40
20,17
24,31
21,24
23,15
15,26
42,47
27,30
48,19
16,24
27,31
27,33
20,27
33,41
25,46
40,14
12,22
15,20
33,26
20,23
32,29
6,20
17,27
52,33
47,7
20,12
25,26
17,14
41,17
31,37
16,23
24,28
27,13
20,13
19,16
37,17
20,9
14,40
9,38
44,27
56,26
3,38
22,24
19,23
37,35
28,14
7,33
16,35
28,14
7,18
31,32
38,41
38,21
23,26
14,20
24,27
30,20
23,31
13,20
21,9
48,37
18,32
3,17
17,22
20,30
26,31
24,38
9,31
31,29
32,6
23,16
19,14
27,24
28,16
13,38
33,41
21,37
20,16
33,29
27,13
3,38
17,16
34,14
33,27
30,29
35,0
7,26
20,17
21,31
27,24
23,13
25,6
17,11
26,17
25,48
33,34
17,20
33,30
35,36
35,17
24,9
14,17
21,43
26,6
24,10
16,25
31,19
17,19
30,24
28,13
26,0
31,28
30,17
34,24
28,30
21,41
24,21
30,34
40,0
28,36
14,24
14,7
17,27
30,42
21,27
27,24
37,20
21,28
23,7
17,27
17,19
28,14
17,26
20,27
18,21
22,25
27,19
17,19
22,25
19,37
17,45
33,22
9,20
47,42
17,10
20,44
20,38
25,31
28,22
20,23
34,28
14,24
11,34
3,31
13,31
38,11
34,6
14,37
29,35
24,34
20,23
34,31
14,17
30,28
25,3
17,41
24,10
27,3
54,13
28,19
33,22
38,3
5,31
18,30
13,10
21,24
19,13
26,11
22,33
34,31
10,15
34,31
6,44
38,22
7,31
24,27
36,27
17,10
20,16
17,20
45,30
27,25
9,6
16,30
34,31
24,6
16,41
9,17
23,16
24,27
31,17
13,7
16,28
27,29
10,22
3,43
17,45
16,16
21,23
19,29
7,45
23,17
20,27
10,34
30,13
0,17
14,41
31,10
0,25
15,41
13,16
13,22
30,10
40,29
27,21
10,13
34,31
17,24
13,32
19,9
13,23
41,37
30,10
14,16
36,33
31,6
21,14
41,10
14,21
13,7
10,33
31,38
13,36
28,13
26,34
36,28
16,10
15,17
17,27
30,17
33,22
22,41
29,27
18,33
31,0
9,20
23,30
17,15
37,7
19,20
9,22
10,14
36,28
21,29
23,26
24,22
20,27
33,13
0,20
48,9
30,9
38,10
21,37
33,27
45,30
23,30
34,28
17,27
14,31
12,30
6,21
30,31
30,16
24,31
19,13
31,13
15,10
9,0
16,14
17,9
27,17
10,20
20,17
24,22
22,16
16,20
33,21
32,6
21,41
29,41
21,26
23,30
10,34
25,24
13,17
36,10
56,14
20,3
29,15
10,18
29,3
34,31
23,20
25,22
10,50
34,3
24,28
20,16
34,13
23,7
51,29
19,20
37,10
14,26
28,24
26,51
30,20
10,27
17,41
31,17
21,16
26,11
37,30
28,25
33,24
7,22
13,16
38,30
24,27
35,32
19,26
47,17
31,15
23,17
21,42
11,34
16,19
10,13
30,27
36,42
27,24
17,20
23,20
